Title,Slug,Template Image Path,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Template Image,Heading (H1) - Template,Description - Template,Image URL - Template,Image Alt Text - Template,Figma Link - Template,Use Case - Template,Type - Template,Industry - Template,Supported Email Clients - Template,Supported ESPs - Template,Meta Description - Template,Full URL,Related Templates
YummyFood Create Profile HTML Email Template,restaurant-yummyfood-asks-to-create-a-profile,images/restaurant-yummyfood-asks-to-create-a-profile.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc212,Mon Jun 24 2024 09:16:07 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:24:35 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/66793957d8d37fb723e3a88f_66791569ad5c61e86e350f89_templates-activation-and-retention-restaurant-yummyfood-asks-to-create-a-profile.png,,Streamline ordering with saved payment and address options using this HTML email template. Encourage referrals with rewards to foster a community-driven experience for food lovers.,,Restaurant-YummyFood Asks To Create A Profile,https://www.figma.com/file/1LtOe4NlLGg5EuZeHbmTfd/Activation-%26-Retention-Email-Templates-Library?type=design&node-id=1-2&mode=design&t=TrkI9NSBTkX2NvbA-0,"<p><a href=""/templates/activation-and-retention"" id="""">Activation &amp; Retention</a></p>","<p><a href=""/templates/user-lifecycle"" id="""">User Lifecycle</a></p>","<p><a href=""/templates/restaurants-food-and-beverages"" id="""">Restaurants, Food &amp; Beverages</a></p>","<p id="""">Yahoo!, Apple Mail, Gmail</p>","<p id="""">Brevo, GetResponse, Campaign Monitor, Zoho Mail</p>","Streamline ordering with this HTML email template. Saved payment and address options, plus referral rewards, foster a community-driven experience for food lovers.",/email-template/restaurant-yummyfood-asks-to-create-a-profile,welcome-skateboards-signup-thank-you-html-template; beauty-trending-beauty-picks; travel-beach-tour-packages; restaurant-culinary-weekends-classes; fashion-spring-exclusive-offers; restaurant-summar-delights-exclusive-deals; small-business-trends-html; beauty-tips-to-apply-skincare-products; saas-seamless-collaboration-on-platform; beauty-new-skin-routine; saas-monthly-performance-overview; education-learn-outreach-strategies; juvee-exclusive-subscriber-offer-html-template; travel-godrive-ride-deals; fiverr-welcome-email; saas-explore-delivery-services; education-meet-the-courses-and-educators; education-directory-of-learning-centers; education-access-to-guides-and-profile; saas-customize-email-preferences; complete-linkedin-profile-html; beauty-prepare-for-academic-vibes; art-discovery-purchase-tools-html-template; fashion-acme-fashion-updates-subscribe
YETI King Crab Collection HTML Email Template for Product Launch,yeti-king-crab-collection-html-template,images/yeti-king-crab-collection-html-template.webp,,,,,,,https://uploads-ssl.webflow.com/66851ff5597edd9f7c0cbddb/66c7321a811592e7fff1cb7c_Gear%20In%20A%20New%20Limited%20Edition%20Color.png,,"This email template promotes the launch of YETI's King Crab Collection, featuring gear inspired by the rugged conditions of the Bering Sea. The bold design highlights the durability and standout color of the gear, making it perfect for outdoor enthusiasts.",,YETI King Crab Collection HTML Email Template,https://www.figma.com/design/XMWCGJRL8QvXcyzX4wUGwH/New-Product-Launch-Email-Templates-Library?node-id=3204-130&t=Fn15YdFqzxssAZdw-0,"<p><a href=""/templates/product-launch"" id="""">Product Launch</a></p>","<p><a href=""/templates/marketing"" id="""">Marketing</a></p>","<p><a href=""/templates/ecommerce"" id="""">Ecommerce</a></p>","<p>Gmail, Yahoo!, Apple Mail</p>","<p>HubSpot, Zoho Mail, Brevo, GetResponse, Moosend, Klaviyo, Campaign Monitor, MailChimp</p>","Bold HTML email template promoting YETI's King Crab Collection, ideal for outdoor enthusiasts looking for durable, standout gear.",/email-template/yeti-king-crab-collection-html-template,fashion-welcome-summer-collection; 1932-collection-classic-northwest-style-html-email-template; supernova-prima-launch-meet-html-template; fashion-style-session-and-collections; fashion-spring-vibes-collection; spring-headwear-collection-html-email-template; saas-join-wallet-waitlist; ecommerce-sleek-bags-and-footwears; beauty-signature-eyeshadow-palettes; sacred-return-aero-jersey-html-email-template; rnnr-offfield-pacer-hat-html-email-template; rnnr-hazy-collection-html-email-template; ray-ban-meta-smart-glasses-exclusive-html-template; beauty-pureglow-new-face-creams; pre-order-limited-edition-demande-speciale-v-html-email-template; pleasures-reebok-capsule-collection-html-template; pleasures-summer-24-collection-html-template; oakley-exclusive-hydra-mvp-html-template; beauty-new-product-series-soon; travel-new-destinations-discounts; fashion-new-arrivals-and-trends; saas-new-app-version; travel-new-adventures-and-camping; ecommerce-moto-launch-party; limited-edition-space-encoder-html-email-template; limited-edition-demande-speciale-v-html-email-template; le-short-classique-html-template; laura-niubo-rug-collection-html-template; beauty-latest-lotions-and-skincare; real-estate-latest-furnished-apartments; kit-modern-formulas-html-email-template; journal-prompt-cards-html-template; janji-spring-summer-2024-collection-html-template; restaurant-gourmet-delights; saas-fresh-addition-alert; ecommerce-ford-maverick-dealers; dunes-outdoor-furniture-html-template; real-estate-dream-home-properties; counter-print-three-dimensional-type-book-launch-html-template; carhartt-wip-precious-collection-html-email-template; ecommerce-audi-a-introduction; restaurant-aromatic-coffees; amazing-grace-hat-html-email-template; ecommerce-airpods-pro-introduction
Yellowbird Holiday Email Preferences HTML Template,yellowbird-holiday-email-preferences-html-template,images/yellowbird-holiday-email-preferences-html-template.webp,,,,,,,https://uploads-ssl.webflow.com/66851ff5597edd9f7c0cbddb/66c7321776f366a2c9b230a2_Hoping%20to%20opt-out%20of%20Mother%E2%80%99s%20Day%20messages_.png,,A considerate template offering users the option to update email preferences for holidays. Ideal for email preference management.,,Yellowbird Holiday Email Preferences HTML Template,https://www.figma.com/design/vJhLYfdgr0A1CJ6a7epFEE/New-Notifications-%26-Acknowledgement-Email-Templates-Library?node-id=2204-78&t=2A7b0b92xw7NDbNa-0,"<p><a href=""/templates/notifications-and-acknowledgement"" id="""">Notifications &amp; Acknowledgement</a></p>","<p><a href=""/templates/user-lifecycle"" id="""">User Lifecycle</a></p>","<p><a href=""/templates/ecommerce"" id="""">Ecommerce</a></p>","<p>Outlook, Gmail, Yahoo!</p>","<p>Brevo, Active Campaign, Mailjet, Constant Contact, Salesforce, Moosend, MailChimp</p>","HTML email template allowing users to manage holiday email preferences with a friendly, empathetic tone. Perfect for improving user experience and retention.",/email-template/yellowbird-holiday-email-preferences-html-template,beauty-womens-day-celebration; education-schedule-for-the-week; tracksmith-foundation-bulletin-html-email-template; saas-scheduled-power-interruption; rydoo-expense-processed; ecommerce-review-drive-history; beauty-purchase-details; fashion-purchase-confirmed; saas-platform-maintenance-break; saas-upcoming-platform-enhancement; saas-deal-on-plan-upgrade; saas-password-update-successful; fashion-problem-with-order-delivery; education-new-semester-sale; saas-membership-renew-countdown; restaurant-meal-has-arrived; travel-journey-so-far; restaurant-irresistible-deals; saas-event-itinerary; carhartt-wip-radio-techno-alliance-email-template; business-information-request-html-email-template; travel-adventures-offers; saas-account-security-prompt; ecommerce-a-warm-welcome
Yearly Mega Offer Ecommerce HTML Email Template,ecommerce-yearly-mega-offer,images/ecommerce-yearly-mega-offer.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc398,Mon Jun 24 2024 09:16:58 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:23:54 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/667939826d21838c97c39c8f_6679156b21cc6de196caef08_templates-boxing-day-ecommerce-yearly-mega-offer.png,,"Festive email template for a skincare brand's Boxing Week Sale, offering a buy one, get one at half price deal. Colorful and enticing design highlights natural skincare products for holiday shoppers.",,Ecommerce-Yearly Mega Offer,https://www.figma.com/file/WeuIKfrWEdt4WAVoUr9gXL/Boxing-Day-Email-Templates-Library?type=design&node-id=1-8&mode=design&t=QGurhRdh19p3wCUq-0,"<p><a href=""/templates/boxing-day"" id="""">Boxing Day</a></p>","<p><a href=""/templates/festive"" id="""">Festive</a></p>","<p><a href=""/templates/ecommerce"" id="""">Ecommerce</a></p>","<p id="""">Apple Mail, Outlook</p>","<p id="""">Active Campaign, Moosend, HubSpot, Klaviyo, Zoho Mail, MailChimp, Campaign Monitor</p>",Boost Boxing Week sales with this festive skincare HTML email template. BOGO deals and colorful design highlight natural skincare products.,/email-template/ecommerce-yearly-mega-offer,ecommerce-sports-equipment-sale; fashion-savings-on-footwears; ecommerce-holiday-collection-sale; ecommerce-fitness-gear-special-sale; ecommerce-electronics-blast-sale; ecommerce-discount-on-outlet-items; fashion-boxing-day-sale
Year Start Gifting Ideas Fashion HTML Email Template,fashion-year-start-gifting-ideas,images/fashion-year-start-gifting-ideas.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc37d,Mon Jun 24 2024 09:16:51 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:23:58 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/6679398316c119ed6724f8a0_66791577292db96719035033_templates-new-year-fashion-year-start-gifting-ideas.png,,"This cheerful template with festive graphics is perfect for retail, offering flash sales and gifting ideas to kickstart the new year. Engaging for seasonal shoppers looking for deals.",,Fashion-Year Start Gifting Ideas,https://www.figma.com/file/X0wJr18QHwPvIh5BFDRsQ0/New-Year-Email-Templates-Library?type=design&node-id=1-5&mode=design&t=6PPNeE1BKElLiZYg-0,"<p><a href=""/templates/new-year"" id="""">New Year</a></p>","<p><a href=""/templates/festive"" id="""">Festive</a></p>","<p><a href=""/templates/fashion"" id="""">Fashion</a></p>","<p id="""">Gmail, Apple Mail, Yahoo!</p>","<p id="""">Mailjet, Campaign Monitor, Brevo, Salesforce</p>",Kickstart the new year with this cheerful fashion HTML email template. Festive graphics and flash sales engage seasonal shoppers.,/email-template/fashion-year-start-gifting-ideas,restaurant-special-box-gift-sale; saas-new-year-wishes; fashion-new-year-winter-collection; beauty-new-year-beauty-resolutions; beauty-makeup-items-and-gifts; saas-gratitude-for-collaboration; travel-family-vacation-discounts; end-start-year-right-html; ecommerce-discount-on-watches; ecommerce-curated-new-year-gifts; restaurant-chinese-new-year; travel-avail-discount-on-trips
WWDC23 Celebration Discount HTML Email Template,wwdc23-discount-html-email,images/wwdc23-discount-html-email.webp,,,,,,,https://uploads-ssl.webflow.com/66851ff5597edd9f7c0cbddb/66c732461b858d3d31b36e63_iOS%2017%2C%20visionOS%20and%20AI%20Courses.png,,"A futuristic HTML email template celebrating WWDC23 with a 50% discount on courses. Perfect for tech enthusiasts and developers eager to learn SwiftUI, AI tools, and UI design.",,WWDC23 Celebration Discount HTML Email Template,https://www.figma.com/design/4DNZJH4iYmHi5uYidVrBlu/New-Discounts-%26-Coupons-Email-Templates-Library?node-id=4306-1601&t=bcVyeNTKtyzZjexL-0,"<p><a href=""/templates/discounts-and-coupons"" id="""">Discounts &amp; Coupons</a></p>","<p><a href=""/templates/marketing"" id="""">Marketing</a></p>","<p><a href=""/templates/software-and-digital-services"" id="""">Software &amp; Digital Services</a></p>","<p>Apple Mail, Outlook, Gmail</p>","<p>Constant Contact, Mailjet, Brevo, Klaviyo, Campaign Monitor</p>","Futuristic HTML email template offering 50% off on courses, ideal for developers and tech enthusiasts.",/email-template/wwdc23-discount-html-email,saas-webizz-off; vidangel-labor-day-html-email; the-sill-fiddle-leaf-fig-html-email; ecommerce-seasonal-savings; fashion-trends-store-off; strava-club-invitation-html-template; strangelove-eofy-discount-email-template; spring-sale-20-off-towels-html-template; restaurant-feedback; sourse-vitamin-chocolate-offer-email-template; finance-digital-spend-card; travel-seasonal-deals; healthcare-medical-assistance; saas-happy-customer-off; rivian-earth-day-html-email; ritual-25-off-html-email; rent-the-runway-rsvp-html-email; reel-5-off-html-email; real-estate-book-tour-off; ray-ban-last-chance-20-off-html-template; projects-watches-black-friday-july-html-template; prime-day-sale-native-pet-html-template; prime-day-30-off-html-template; ourside-welcome-html-email; ongo-support-military-html-email; notorious-nooch-prime-day-offer-email-template; moment-welcome-discount-html-email; mezcal-negroni-summer-cocktail-html-template; memorial-day-sale-20-off-pillows-html-template; masterclass-labor-day-html-email; macpaw-15th-anniversary-html-email; real-estate-home-tour-off; lodgify-50-off-html-email; liquid-death-early-access-html-email; leatherman-spring-custom-sale-html-template; last-chance-20-off-joggy-energy-template; last-chance-10-off-feeling-swell-html-template; last-chance-10-off-cold-culture-html-template; education-kids-academy-program-discount; july-4th-sale-40-off-html-template; jibby-relaxation-day-html-email; janji-mystery-box-html-template; hodina-20-off-html-email; healthcare-off-checkup; headway-self-growth-html-email; grammarly-flash-sale-email-template; beauty-glow-and-glamour-discount; gainful-new-year-html-email; free-gift-promotion-html-template; fourth-july-clearance-sale-html-template; fashion-off-17c75; flow-state-strava-challenge-html-template; final-hours-sale-html-email-template; ecommerce-sale-off; restaurant-offer-asian-cuisine-d4ba2; real-estate-family-residence-sale; earth-day-promotion-html-template; dutch-bros-birthday-html-email; codecademy-cyber-week-html-email; ecommerce-off-on-mats; education-learning-day-off; ecommerce-off-on-bags; black-friday-html-email; birdwell-30-percent-off-sitewide-sale-html-email-template; betterbrand-lucky-day-html-email; beauty-spa-coupon-off-7689f; beauty-cosmetic-collection-discount; beauty-exclusive-discount-for-subscribers; ecommerce-sale-on-cart; adobe-creative-cloud-html-email; 60-off-fitbit-premium-membership-html-template; 50-off-activecampaign-3-month-offer-html-template; 30-off-meditation-html-template; 30-off-cleanmymac-tennis-promo-html-template; 30-off-birthday-stay-offer-html-template; 25-off-luxury-bidet-html-template; 20-off-meditation-html-template; 20-off-headspace-journey-html-template; 20-off-delivery-doordash-html-template; 12-hour-prime-day-sale-native-pet-template; 100-off-calibrate-weight-loss-program-html-template
World Tourism Day Travel HTML Email Template,travel-word-tourism-day,images/travel-word-tourism-day.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc2de,Mon Jun 24 2024 09:16:22 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 11:43:16 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 11:43:22 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/66851ff5597edd9f7c0cbe05/66cc6c174468ba639733fd1f_669116c6b99e078fd891e52a_Travel%204.png,,Inspire globetrotters with this vibrant HTML email template for World Tourism Day. Features special offers and detailed services to capture interest and bookings.,,Travel-Word Tourism Day,https://www.figma.com/file/bE3YOZaoxAhHXWu8dXZBZF/Product-Promotions-%26-Updates-Email-Templates-Library?type=design&node-id=1-364&mode=design&t=DhElDvqMqGWPVKpL-0,"<p><a href=""/templates/product-promotions-and-updates"" id="""">Product Promotions &amp; Updates</a></p>","<p><a href=""/templates/marketing"" id="""">Marketing</a></p>","<p><a href=""/templates/travel-and-leisure"" id="""">Travel &amp; Leisure</a></p>","<p id="""">Outlook, Yahoo!</p>","<p id="""">Constant Contact, Campaign Monitor, HubSpot, Klaviyo, GetResponse</p>",Inspire globetrotters with this vibrant HTML email template. Celebrate World Tourism Day with special offers and detailed services for travel agencies.,/email-template/travel-word-tourism-day,weekly-bonus-commissions-html; wandrd-gear-sale-html-template; vanmoof-s4-x4-evergreen-sale-html-template; vanmoof-s4-x4-ebikes-html-template; unlimited-hosting-announcement-html-email-template; turmeric-balance-blend-html-template; tracksmith-take-the-plunge-html-template; fashion-top-picks-for-school; true-cost-addiction-healthcare-html; hypothesis-of-post-running-high; desks-behind-station-html; building-blocks-career-html; super-spritz-spf-50-face-mist-html-template; restaurant-summer-delight-deals; summer-24-collection-html-email-template; streamline-scheduling-reduce-cancellations-html; standing-desk-promotion-html-template; sphaera-bisphaera-eyewear-html-email-template; software-comparison-html-email-template; smoothing-mini-gift-set-html-template; education-selective-classes-deals; samra-on-the-go-coffee-kit-html-template; rouge-berry-lip-jelly-html-template; research-maturity-model-html-email-template; beauty-renewed-choices; reel-bamboo-toilet-paper-availability-html-template; reebok-pride-collection-2024-html-template; really-long-toilet-rolls-html-template; project-management-miro-html-email-template; pleasures-apparel-collection-html-email-template; performance-footwear-html-template; paypal-business-insights-html; outdoor-voices-jog-shorts-html-template; outdoor-furniture-promotion-html-template; otter-pro-upgrade-html; oakley-factory-team-return-html-template; netlify-dynamic-features-html-email-template; mixpanel-vs-google-analytics-html-email-template; mixpanel-data-modeling; metabolism-test-promotion-html-template; beauty-makeup-essentials-offer; made-in-los-angeles-wholesale-html-email-template; lenny-kravitz-x-ray-ban-reverse-html-email-template; education-know-committed-educators; klaviyo-retention-strategy-webinar-html-template; kim-and-kris-powered-by-update-html-template; indeed-resume-visibility; hinge-mixpanel-html; green-banana-buffing-bar-html-template; google-workspace-html-email-template; ssp-precision-burrs-html; fashion-freedom-day-celebration; extra-peach-soda-html-template; travel-explore-the-world; event-sunscreen-promotion-html-email-template; eliot-runner-test-of-miles-html-template; ease-x-nomia-collection-html-template; digital-construction-conversations-podcast-html; restaurant-culinary-classes; copper-cow-coffee-rewards-email-template; connect-your-show-html-email-template; companies-hiring-now-html-email-template; beauty-celebrating-womanhood; celebrate-with-us-html; cecred-bioactive-keratin-html-template; carhartt-wip-radio-html-email-template; calendly-sales-marketing-resources-html; saas-business-solutions; burberry-summer-styles-html-email-template; bougie-free-shipping-email-template; borosilicate-glassware-html-template; board-views-insights-html-email-template; ecommerce-blossom-beauty; ecommerce-be-in-best-look; bbuc-dream-beyond-email-template; asphalte-le-short-classique-html-template; asana-calendar-view; as-seen-on-fashion-socks-html-email-template; allbirds-solstice-shoes-html-email-template; ai-upskilling-marketers-html-email-template; ace-branding-game-html; a24-screenplay-collection-html-template; 2023-consumer-trends-index-html
Women's Day Celebration Beauty HTML Email Template,beauty-womens-day-celebration,images/beauty-womens-day-celebration.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc2f5,Mon Jun 24 2024 09:16:26 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:24:18 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/6679396a7d654ebfdbede62b_6679157acd7b8d71fb7f1a47_templates-notifications-and-acknowledgement-beauty-womens-day-celebration.png,,"The FloraGRACE email template is perfect for florists or gift shops, featuring a clean, feminine design with a promotional offer for International Women's Day, showcasing special floral collections.",,Beauty-Womens Day Celebration,https://www.figma.com/file/TVv5N3v6cfYrGNsKmLWNfX/Notifications-%26-Acknowledgement-Email-Templates-Library?type=design&node-id=1-10&mode=design&t=87VJApAVELX6IMoZ-0,"<p><a href=""/templates/notifications-and-acknowledgement"" id="""">Notifications &amp; Acknowledgement</a></p>","<p><a href=""/templates/announcements-communications"" id="""">Announcements / Communications</a></p>","<p><a href=""/templates/beauty-and-personal-care"" id="""">Beauty &amp; Personal Care</a></p>","<p id="""">Yahoo!, Outlook, Apple Mail</p>","<p id="""">MailChimp, Zoho Mail, Salesforce, HubSpot, Mailjet, GetResponse</p>",Celebrate Women's Day with this elegant beauty HTML email template. Offer promotional deals on floral collections for florists and gift shops.,/email-template/beauty-womens-day-celebration,yellowbird-holiday-email-preferences-html-template; education-schedule-for-the-week; tracksmith-foundation-bulletin-html-email-template; saas-scheduled-power-interruption; rydoo-expense-processed; ecommerce-review-drive-history; beauty-purchase-details; fashion-purchase-confirmed; saas-platform-maintenance-break; saas-upcoming-platform-enhancement; saas-deal-on-plan-upgrade; saas-password-update-successful; fashion-problem-with-order-delivery; education-new-semester-sale; saas-membership-renew-countdown; restaurant-meal-has-arrived; travel-journey-so-far; restaurant-irresistible-deals; saas-event-itinerary; carhartt-wip-radio-techno-alliance-email-template; business-information-request-html-email-template; travel-adventures-offers; saas-account-security-prompt; ecommerce-a-warm-welcome
Women Conference on Innovation Education HTML Email Template,education-women-conference-on-innovation,images/education-women-conference-on-innovation.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc33b,Mon Jun 24 2024 09:16:41 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:24:06 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/667939791a09e1b121f7da86_66791572292db96719034974_templates-events-and-invitations-education-women-conference-on-innovation.png,,"Vibrant and empowering, this template's lively design and direct call-to-action are perfect for networking events. Enhances visibility and fosters engagement among professional women.",,Education-Women Conference On Innovation,https://www.figma.com/file/GvEQPfLEf1edP731vD99lt/Events-Email-Templates-Library?type=design&node-id=1-14&mode=design&t=QJO8jqDHt1X2drlG-0,"<p><a href=""/templates/events-and-invitations"" id="""">Events &amp; Invitations</a></p>","<p><a href=""/templates/announcements-communications"" id="""">Announcements / Communications</a></p>","<p><a href=""/templates/education"" id="""">Education</a></p>","<p id="""">Yahoo!, Outlook, Apple Mail</p>","<p id="""">Constant Contact, GetResponse, Zoho Mail, Campaign Monitor, Mailjet, HubSpot</p>",Foster engagement among professional women with this vibrant education HTML email template. Lively design and direct CTAs enhance networking event visibility.,/email-template/education-women-conference-on-innovation,saas-webinar-digital-marketing; saas-virtual-coffee-chat; education-univerity-alumni-meet; ultimate-mobile-filmmaking-giveaway-html-template; saas-technology-summit; sonos-ace-live-qna-html-template; slack-frontiers-invitation-html; travel-scheduled-workshops-and-activities; saas-online-tea-time-talk; education-modern-design-session; live-training-schedule-html-email-template; education-learn-content-strategies; laels-ride-around-the-world-html-template; education-growth-masterclass; beauty-female-progress-symposium; beauty-fathers-day-sale; emma-u-class-22-event-recap-html; saas-email-marketing-session; education-educators-day-celebration; education-discover-innovative-techniques; saas-digital-summit; saas-digital-planning-event; finance-digital-dynamics-expo; education-digital-design-expo; saas-business-workshop; saas-business-strategies-conference; education-annual-confluence-summit; adidas-confirmed-invitation-html-template
Winter Homemade Wonders Restaurant HTML Email Template,restaurant-winter-homemade-wonders,images/restaurant-winter-homemade-wonders.webp,66851ff5597edd9f7c0cbee7,66851ff5597edd9f7c0cbdde,66851ff5597edd9f7c0cc3cd,Mon Jun 24 2024 09:17:05 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:23:47 GMT+0000 (Coordinated Universal Time),Fri Jul 12 2024 08:25:01 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6656cfa894f8540abda9ef88/66793990a2e00db335663acb_6679158e802c651e481f1c2c_templates-winter-restaurant-winter-homemade-wonders.png,,"The Gourmet Gazette's Halloween template is ideal for culinary businesses, offering a festive discount on baking classes to attract food enthusiasts, highlighted by captivating imagery.",,Restaurant-Winter Homemade Wonders,https://www.figma.com/file/87MPDhWm371bEcIUGjW6M0/Winter-Email-Templates-Library?type=design&node-id=1-9&mode=design&t=j1lEJAFFCe1bArCo-0,"<p><a href=""/templates/winter"" id="""">Winter</a></p>","<p><a href=""/templates/festive"" id="""">Festive</a></p>","<p><a href=""/templates/restaurants-food-and-beverages"" id="""">Restaurants, Food &amp; Beverages</a></p>","<p id="""">Outlook, Apple Mail</p>","<p id="""">Klaviyo, Active Campaign, Salesforce, Brevo, Moosend, HubSpot</p>",Attract food enthusiasts with this festive restaurant HTML email template. Discount on baking classes and captivating imagery for Halloween promotions.,/email-template/restaurant-winter-homemade-wonders,fashion-winter-essentials-sale; fashion-winter-collection-sale; travel-winter-celebration-guide; fashion-shop-winter-looks; fashion-premium-winter-boots; fashion-passport-to-winter-wonders; fashion-newest-winter-essentials; fashion-highlights-and-winter-sale; fashion-exclusive-holiday-collection; fashion-discount-for-winters
